S No,Norms,State,Year,Month,Value
2,BHARAT STAGE III/IV,Meghalaya(15),2026,FEB,3
3,BHARAT STAGE VI,Meghalaya(15),2026,FEB,"2,480"
4,BHARAT (TREM) STAGE III,Meghalaya(15),2026,FEB,1
5,BHARAT (TREM) STAGE III A,Meghalaya(15),2026,FEB,7
6,CEV STAGE V,Meghalaya(15),2026,FEB,42
7,NOT AVAILABLE,Meghalaya(15),2026,FEB,40
1,BHARAT STAGE III,Manipur(17),2026,JAN,8
2,BHARAT STAGE IV,Manipur(17),2026,JAN,222
3,BHARAT STAGE VI,Manipur(17),2026,JAN,"3,063"
4,BHARAT (TREM) STAGE III A,Manipur(17),2026,JAN,3
5,CEV STAGE V,Manipur(17),2026,JAN,6
6,NOT AVAILABLE,Manipur(17),2026,JAN,119
1,BHARAT STAGE III,Manipur(17),2026,FEB,10
2,BHARAT STAGE IV,Manipur(17),2026,FEB,57
3,BHARAT STAGE VI,Manipur(17),2026,FEB,"2,691"
4,BHARAT (TREM) STAGE III A,Manipur(17),2026,FEB,6
5,CEV STAGE V,Manipur(17),2026,FEB,3
6,NOT AVAILABLE,Manipur(17),2026,FEB,123
1,BHARAT STAGE I,Madhya Pradesh(53),2026,JAN,0
2,BHARAT STAGE II,Madhya Pradesh(53),2026,JAN,2
3,BHARAT STAGE III,Madhya Pradesh(53),2026,JAN,0
4,BHARAT STAGE III (CEV),Madhya Pradesh(53),2026,JAN,1
5,BHARAT STAGE IV,Madhya Pradesh(53),2026,JAN,6
6,BHARAT STAGE VI,Madhya Pradesh(53),2026,JAN,"1,32,563"
7,BHARAT (TREM) STAGE III A,Madhya Pradesh(53),2026,JAN,"13,221"
8,CEV STAGE IV,Madhya Pradesh(53),2026,JAN,3
9,CEV STAGE V,Madhya Pradesh(53),2026,JAN,282
10,EURO 1,Madhya Pradesh(53),2026,JAN,7
11,NOT AVAILABLE,Madhya Pradesh(53),2026,JAN,"15,026"
12,TREM STAGE IV,Madhya Pradesh(53),2026,JAN,663
1,BHARAT STAGE I,Madhya Pradesh(53),2026,FEB,3
2,BHARAT STAGE II,Madhya Pradesh(53),2026,FEB,3
3,BHARAT STAGE III,Madhya Pradesh(53),2026,FEB,1
4,BHARAT STAGE III (CEV),Madhya Pradesh(53),2026,FEB,0
5,BHARAT STAGE IV,Madhya Pradesh(53),2026,FEB,6
6,BHARAT STAGE VI,Madhya Pradesh(53),2026,FEB,"90,465"
7,BHARAT (TREM) STAGE III A,Madhya Pradesh(53),2026,FEB,"8,135"
8,CEV STAGE IV,Madhya Pradesh(53),2026,FEB,0
9,CEV STAGE V,Madhya Pradesh(53),2026,FEB,204
10,EURO 1,Madhya Pradesh(53),2026,FEB,5
11,NOT AVAILABLE,Madhya Pradesh(53),2026,FEB,"9,731"
12,TREM STAGE IV,Madhya Pradesh(53),2026,FEB,582
1,BHARAT STAGE III,Mizoram(12),2026,JAN,1
2,BHARAT STAGE VI,Mizoram(12),2026,JAN,"3,134"
3,BHARAT (TREM) STAGE III A,Mizoram(12),2026,JAN,1
4,CEV STAGE V,Mizoram(12),2026,JAN,11
5,NOT AVAILABLE,Mizoram(12),2026,JAN,82
1,BHARAT STAGE III,Mizoram(12),2026,FEB,1
2,BHARAT STAGE VI,Mizoram(12),2026,FEB,"1,834"
3,BHARAT (TREM) STAGE III A,Mizoram(12),2026,FEB,0
4,CEV STAGE V,Mizoram(12),2026,FEB,11
5,NOT AVAILABLE,Mizoram(12),2026,FEB,67
1,BHARAT STAGE I,Nagaland(9),2026,JAN,10
2,BHARAT STAGE II,Nagaland(9),2026,JAN,4
3,BHARAT STAGE III,Nagaland(9),2026,JAN,49
4,BHARAT STAGE III (CEV),Nagaland(9),2026,JAN,2
5,BHARAT STAGE IV,Nagaland(9),2026,JAN,21
6,BHARAT STAGE VI,Nagaland(9),2026,JAN,"2,800"
7,CEV STAGE IV,Nagaland(9),2026,JAN,1
8,CEV STAGE V,Nagaland(9),2026,JAN,25
9,EURO 2,Nagaland(9),2026,JAN,0
10,EURO 3,Nagaland(9),2026,JAN,6
11,NOT AVAILABLE,Nagaland(9),2026,JAN,3
1,BHARAT STAGE I,Nagaland(9),2026,FEB,10
2,BHARAT STAGE II,Nagaland(9),2026,FEB,7
3,BHARAT STAGE III,Nagaland(9),2026,FEB,45
4,BHARAT STAGE III (CEV),Nagaland(9),2026,FEB,0
5,BHARAT STAGE IV,Nagaland(9),2026,FEB,37
6,BHARAT STAGE VI,Nagaland(9),2026,FEB,"1,968"
7,CEV STAGE IV,Nagaland(9),2026,FEB,4
8,CEV STAGE V,Nagaland(9),2026,FEB,34
9,EURO 2,Nagaland(9),2026,FEB,3
10,EURO 3,Nagaland(9),2026,FEB,4
11,NOT AVAILABLE,Nagaland(9),2026,FEB,3
1,BHARAT STAGE III (CEV),Odisha(39),2026,JAN,0
2,BHARAT STAGE VI,Odisha(39),2026,JAN,"76,342"
3,BHARAT (TREM) STAGE III A,Odisha(39),2026,JAN,"1,714"
4,CEV STAGE IV,Odisha(39),2026,JAN,0
5,CEV STAGE V,Odisha(39),2026,JAN,533
6,EURO 6,Odisha(39),2026,JAN,4
7,NOT AVAILABLE,Odisha(39),2026,JAN,"8,625"
8,TREM STAGE IV,Odisha(39),2026,JAN,24
