S No,Norms,State,Year,Vehicle Category,Value
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,OTH,"3,738"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,OTH,55
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,2WIC,0
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,2WIC,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,2WIC,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,2WN,"1,159"
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,2WN,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,2WN,3
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,2WT,49
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,2WT,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,2WT,5
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,3WIC,0
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,3WIC,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,3WIC,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,3WN,0
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,3WN,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,3WN,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,3WT,79
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,3WT,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,3WT,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,4WIC,0
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,4WIC,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,4WIC,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,HGV,5
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,HGV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,HGV,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,HMV,0
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,HMV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,HMV,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,HPV,3
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,HPV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,HPV,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,LGV,31
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,LGV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,LGV,0
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,LMV,354
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,LMV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,LMV,11
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,LPV,64
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,LPV,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,LPV,1
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,MGV,0
