S No,Vehicle Class,State,Year,Month Wise,Value
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,SEP,11
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,SEP,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,SEP,1
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,OCT,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,OCT,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,OCT,1
4,BUS,Andaman & Nicobar Island(3),2025,OCT,3
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,OCT,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,OCT,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,OCT,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,OCT,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,OCT,18
10,HEARSES,Andaman & Nicobar Island(3),2025,OCT,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,OCT,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,OCT,5
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,OCT,685
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,OCT,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,OCT,0
16,MOPED,Andaman & Nicobar Island(3),2025,OCT,6
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,OCT,33
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,OCT,212
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,OCT,24
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,OCT,1
21,OMNI BUS,Andaman & Nicobar Island(3),2025,OCT,9
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,OCT,0
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,OCT,43
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,OCT,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,OCT,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,NOV,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,NOV,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,NOV,1
4,BUS,Andaman & Nicobar Island(3),2025,NOV,2
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,NOV,1
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,NOV,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,NOV,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,NOV,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,NOV,13
10,HEARSES,Andaman & Nicobar Island(3),2025,NOV,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,NOV,1
12,MAXI CAB,Andaman & Nicobar Island(3),2025,NOV,7
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,NOV,551
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,NOV,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,NOV,0
16,MOPED,Andaman & Nicobar Island(3),2025,NOV,4
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,NOV,35
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,NOV,231
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,NOV,17
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,NOV,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,NOV,2
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,NOV,0
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,NOV,34
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,NOV,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,NOV,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,DEC,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,DEC,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,DEC,1
4,BUS,Andaman & Nicobar Island(3),2025,DEC,5
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,DEC,1
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,DEC,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,DEC,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,DEC,4
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,DEC,23
10,HEARSES,Andaman & Nicobar Island(3),2025,DEC,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,DEC,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,DEC,9
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,DEC,605
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,DEC,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,DEC,0
16,MOPED,Andaman & Nicobar Island(3),2025,DEC,2
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,DEC,13
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,DEC,231
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,DEC,15
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,DEC,2
21,OMNI BUS,Andaman & Nicobar Island(3),2025,DEC,8
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,DEC,3
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,DEC,77
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,DEC,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,DEC,0
1,ADAPTED VEHICLE,Andhra Pradesh(84),2025,JAN,32
2,AGRICULTURAL TRACTOR,Andhra Pradesh(84),2025,JAN,"1,212"
3,AMBULANCE,Andhra Pradesh(84),2025,JAN,39
4,ARTICULATED VEHICLE,Andhra Pradesh(84),2025,JAN,31
5,BUS,Andhra Pradesh(84),2025,JAN,282
6,CAMPER VAN / TRAILER,Andhra Pradesh(84),2025,JAN,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Andhra Pradesh(84),2025,JAN,0
8,CASH VAN,Andhra Pradesh(84),2025,JAN,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Andhra Pradesh(84),2025,JAN,144
10,CRANE MOUNTED VEHICLE,Andhra Pradesh(84),2025,JAN,5
11,DUMPER,Andhra Pradesh(84),2025,JAN,0
12,EDUCATIONAL INSTITUTION BUS,Andhra Pradesh(84),2025,JAN,52
13,E-RICKSHAW(P),Andhra Pradesh(84),2025,JAN,0
14,E-RICKSHAW WITH CART (G),Andhra Pradesh(84),2025,JAN,6
15,EXCAVATOR (NT),Andhra Pradesh(84),2025,JAN,7
16,FIRE FIGHTING VEHICLE,Andhra Pradesh(84),2025,JAN,1
17,FIRE TENDERS,Andhra Pradesh(84),2025,JAN,4
18,FORK LIFT,Andhra Pradesh(84),2025,JAN,0
19,GOODS CARRIER,Andhra Pradesh(84),2025,JAN,"2,064"
20,HARVESTER,Andhra Pradesh(84),2025,JAN,33
21,LIBRARY VAN,Andhra Pradesh(84),2025,JAN,0
22,LUXURY CAB,Andhra Pradesh(84),2025,JAN,0
23,MAXI CAB,Andhra Pradesh(84),2025,JAN,65
24,M-CYCLE/SCOOTER,Andhra Pradesh(84),2025,JAN,"45,704"
25,M-CYCLE/SCOOTER-WITH SIDE CAR,Andhra Pradesh(84),2025,JAN,2
26,MOBILE CLINIC,Andhra Pradesh(84),2025,JAN,0
27,MOPED,Andhra Pradesh(84),2025,JAN,753
28,MOTOR CAB,Andhra Pradesh(84),2025,JAN,468
29,MOTOR CAR,Andhra Pradesh(84),2025,JAN,"8,234"
30,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andhra Pradesh(84),2025,JAN,89
31,MOTORISED CYCLE (CC > 25CC),Andhra Pradesh(84),2025,JAN,"1,698"
32,OMNI BUS,Andhra Pradesh(84),2025,JAN,11
33,OMNI BUS (PRIVATE USE),Andhra Pradesh(84),2025,JAN,34
34,PRIVATE SERVICE VEHICLE,Andhra Pradesh(84),2025,JAN,5
35,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Andhra Pradesh(84),2025,JAN,0
36,RECOVERY VEHICLE,Andhra Pradesh(84),2025,JAN,0
37,ROAD ROLLER,Andhra Pradesh(84),2025,JAN,6
38,SEMI-TRAILER (COMMERCIAL),Andhra Pradesh(84),2025,JAN,0
39,THREE WHEELER (GOODS),Andhra Pradesh(84),2025,JAN,458
40,THREE WHEELER (PASSENGER),Andhra Pradesh(84),2025,JAN,"2,054"
41,THREE WHEELER (PERSONAL),Andhra Pradesh(84),2025,JAN,0
42,TRACTOR (COMMERCIAL),Andhra Pradesh(84),2025,JAN,548
43,TRAILER (AGRICULTURAL),Andhra Pradesh(84),2025,JAN,218
