S No,Fuel,State,Year,Month,Value
8,PETROL(E20)/CNG,Chandigarh(1),2026,FEB,33
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,FEB,61
10,PETROL/ETHANOL,Chandigarh(1),2026,FEB,"1,638"
11,PETROL/HYBRID,Chandigarh(1),2026,FEB,31
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,FEB,1
13,PURE EV,Chandigarh(1),2026,FEB,209
14,STRONG HYBRID EV,Chandigarh(1),2026,FEB,91
1,CNG ONLY,UT of DNH and DD(3),2026,JAN,12
2,DIESEL,UT of DNH and DD(3),2026,JAN,449
3,DIESEL/HYBRID,UT of DNH and DD(3),2026,JAN,33
4,ELECTRIC(BOV),UT of DNH and DD(3),2026,JAN,2
5,NOT APPLICABLE,UT of DNH and DD(3),2026,JAN,0
6,PETROL,UT of DNH and DD(3),2026,JAN,543
7,PETROL/CNG,UT of DNH and DD(3),2026,JAN,28
8,PETROL(E20)/CNG,UT of DNH and DD(3),2026,JAN,156
9,PETROL(E20)/HYBRID,UT of DNH and DD(3),2026,JAN,36
10,PETROL/ETHANOL,UT of DNH and DD(3),2026,JAN,"1,079"
11,PETROL/HYBRID,UT of DNH and DD(3),2026,JAN,42
12,PURE EV,UT of DNH and DD(3),2026,JAN,19
13,STRONG HYBRID EV,UT of DNH and DD(3),2026,JAN,33
1,CNG ONLY,UT of DNH and DD(3),2026,FEB,14
2,DIESEL,UT of DNH and DD(3),2026,FEB,363
3,DIESEL/HYBRID,UT of DNH and DD(3),2026,FEB,20
4,ELECTRIC(BOV),UT of DNH and DD(3),2026,FEB,0
5,NOT APPLICABLE,UT of DNH and DD(3),2026,FEB,12
6,PETROL,UT of DNH and DD(3),2026,FEB,368
7,PETROL/CNG,UT of DNH and DD(3),2026,FEB,15
8,PETROL(E20)/CNG,UT of DNH and DD(3),2026,FEB,111
9,PETROL(E20)/HYBRID,UT of DNH and DD(3),2026,FEB,24
10,PETROL/ETHANOL,UT of DNH and DD(3),2026,FEB,880
11,PETROL/HYBRID,UT of DNH and DD(3),2026,FEB,19
12,PURE EV,UT of DNH and DD(3),2026,FEB,21
13,STRONG HYBRID EV,UT of DNH and DD(3),2026,FEB,24
1,CNG ONLY,Delhi(16),2026,JAN,"3,424"
2,DIESEL,Delhi(16),2026,JAN,"1,298"
3,DIESEL/HYBRID,Delhi(16),2026,JAN,21
4,ELECTRIC(BOV),Delhi(16),2026,JAN,"1,423"
5,PETROL,Delhi(16),2026,JAN,"20,276"
6,PETROL/CNG,Delhi(16),2026,JAN,"2,210"
7,PETROL(E20)/CNG,Delhi(16),2026,JAN,"5,272"
8,PETROL(E20)/HYBRID,Delhi(16),2026,JAN,"1,155"
9,PETROL(E20)/HYBRID/CNG,Delhi(16),2026,JAN,2
10,PETROL/ETHANOL,Delhi(16),2026,JAN,"42,223"
11,PETROL/HYBRID,Delhi(16),2026,JAN,651
12,PLUG-IN HYBRID EV,Delhi(16),2026,JAN,1
13,PURE EV,Delhi(16),2026,JAN,"6,077"
14,STRONG HYBRID EV,Delhi(16),2026,JAN,"1,152"
1,CNG ONLY,Delhi(16),2026,FEB,"1,932"
2,DIESEL,Delhi(16),2026,FEB,681
3,DIESEL/HYBRID,Delhi(16),2026,FEB,18
4,ELECTRIC(BOV),Delhi(16),2026,FEB,291
5,PETROL,Delhi(16),2026,FEB,"11,733"
6,PETROL/CNG,Delhi(16),2026,FEB,702
7,PETROL(E20)/CNG,Delhi(16),2026,FEB,"2,578"
8,PETROL(E20)/HYBRID,Delhi(16),2026,FEB,363
9,PETROL(E20)/HYBRID/CNG,Delhi(16),2026,FEB,0
10,PETROL/ETHANOL,Delhi(16),2026,FEB,"23,986"
11,PETROL/HYBRID,Delhi(16),2026,FEB,331
12,PLUG-IN HYBRID EV,Delhi(16),2026,FEB,0
13,PURE EV,Delhi(16),2026,FEB,"3,340"
14,STRONG HYBRID EV,Delhi(16),2026,FEB,577
1,CNG ONLY,Goa(13),2026,JAN,15
2,DIESEL,Goa(13),2026,JAN,570
3,DIESEL/HYBRID,Goa(13),2026,JAN,9
4,ELECTRIC(BOV),Goa(13),2026,JAN,146
5,PETROL,Goa(13),2026,JAN,"1,760"
6,PETROL/CNG,Goa(13),2026,JAN,15
7,PETROL(E20)/CNG,Goa(13),2026,JAN,90
8,PETROL(E20)/HYBRID,Goa(13),2026,JAN,315
9,PETROL/ETHANOL,Goa(13),2026,JAN,"4,549"
10,PETROL/HYBRID,Goa(13),2026,JAN,27
11,PURE EV,Goa(13),2026,JAN,618
12,STRONG HYBRID EV,Goa(13),2026,JAN,44
1,CNG ONLY,Goa(13),2026,FEB,15
2,DIESEL,Goa(13),2026,FEB,313
3,DIESEL/HYBRID,Goa(13),2026,FEB,6
4,ELECTRIC(BOV),Goa(13),2026,FEB,95
5,PETROL,Goa(13),2026,FEB,"1,387"
6,PETROL/CNG,Goa(13),2026,FEB,5
7,PETROL(E20)/CNG,Goa(13),2026,FEB,86
8,PETROL(E20)/HYBRID,Goa(13),2026,FEB,137
9,PETROL/ETHANOL,Goa(13),2026,FEB,"2,918"
10,PETROL/HYBRID,Goa(13),2026,FEB,13
11,PURE EV,Goa(13),2026,FEB,424
12,STRONG HYBRID EV,Goa(13),2026,FEB,24
1,CNG ONLY,Gujarat(37),2026,JAN,"9,972"
2,DIESEL,Gujarat(37),2026,JAN,"32,674"
3,DIESEL/HYBRID,Gujarat(37),2026,JAN,106
4,ELECTRIC(BOV),Gujarat(37),2026,JAN,406
5,NOT APPLICABLE,Gujarat(37),2026,JAN,517
6,PETROL,Gujarat(37),2026,JAN,"47,689"
7,PETROL/CNG,Gujarat(37),2026,JAN,"4,725"
8,PETROL(E20)/CNG,Gujarat(37),2026,JAN,"11,841"
9,PETROL(E20)/HYBRID,Gujarat(37),2026,JAN,"1,015"
10,PETROL(E20)/HYBRID/CNG,Gujarat(37),2026,JAN,1
11,PETROL/ETHANOL,Gujarat(37),2026,JAN,"92,111"
12,PETROL/HYBRID,Gujarat(37),2026,JAN,482
13,PETROL/HYBRID/CNG,Gujarat(37),2026,JAN,1
14,PLUG-IN HYBRID EV,Gujarat(37),2026,JAN,1
15,PURE EV,Gujarat(37),2026,JAN,"7,060"
16,STRONG HYBRID EV,Gujarat(37),2026,JAN,843
1,CNG ONLY,Gujarat(37),2026,FEB,"6,607"
2,DIESEL,Gujarat(37),2026,FEB,"16,683"
3,DIESEL/HYBRID,Gujarat(37),2026,FEB,80
4,ELECTRIC(BOV),Gujarat(37),2026,FEB,360
5,NOT APPLICABLE,Gujarat(37),2026,FEB,481
6,PETROL,Gujarat(37),2026,FEB,"31,268"
7,PETROL/CNG,Gujarat(37),2026,FEB,"2,063"
8,PETROL(E20)/CNG,Gujarat(37),2026,FEB,"8,089"
9,PETROL(E20)/HYBRID,Gujarat(37),2026,FEB,562
10,PETROL(E20)/HYBRID/CNG,Gujarat(37),2026,FEB,0
11,PETROL/ETHANOL,Gujarat(37),2026,FEB,"64,526"
12,PETROL/HYBRID,Gujarat(37),2026,FEB,254
13,PETROL/HYBRID/CNG,Gujarat(37),2026,FEB,0
14,PLUG-IN HYBRID EV,Gujarat(37),2026,FEB,0
15,PURE EV,Gujarat(37),2026,FEB,"4,865"
16,STRONG HYBRID EV,Gujarat(37),2026,FEB,608
1,CNG ONLY,Himachal Pradesh(96),2026,JAN,13
2,DIESEL,Himachal Pradesh(96),2026,JAN,"2,087"
3,DIESEL/HYBRID,Himachal Pradesh(96),2026,JAN,25
4,ELECTRIC(BOV),Himachal Pradesh(96),2026,JAN,16
5,PETROL,Himachal Pradesh(96),2026,JAN,"3,237"
6,PETROL/CNG,Himachal Pradesh(96),2026,JAN,22
7,PETROL(E20)/CNG,Himachal Pradesh(96),2026,JAN,44
8,PETROL(E20)/HYBRID,Himachal Pradesh(96),2026,JAN,389
9,PETROL/ETHANOL,Himachal Pradesh(96),2026,JAN,"9,224"
10,PETROL/HYBRID,Himachal Pradesh(96),2026,JAN,141
11,PURE EV,Himachal Pradesh(96),2026,JAN,138
12,STRONG HYBRID EV,Himachal Pradesh(96),2026,JAN,87
1,CNG ONLY,Himachal Pradesh(96),2026,FEB,5
2,DIESEL,Himachal Pradesh(96),2026,FEB,"1,365"
3,DIESEL/HYBRID,Himachal Pradesh(96),2026,FEB,11
4,ELECTRIC(BOV),Himachal Pradesh(96),2026,FEB,8
5,PETROL,Himachal Pradesh(96),2026,FEB,"1,463"
6,PETROL/CNG,Himachal Pradesh(96),2026,FEB,17
7,PETROL(E20)/CNG,Himachal Pradesh(96),2026,FEB,25
8,PETROL(E20)/HYBRID,Himachal Pradesh(96),2026,FEB,259
9,PETROL/ETHANOL,Himachal Pradesh(96),2026,FEB,"5,665"
10,PETROL/HYBRID,Himachal Pradesh(96),2026,FEB,88
11,PURE EV,Himachal Pradesh(96),2026,FEB,95
12,STRONG HYBRID EV,Himachal Pradesh(96),2026,FEB,46
1,CNG ONLY,Haryana(104),2026,JAN,"3,518"
2,DIESEL,Haryana(104),2026,JAN,"17,600"
3,DIESEL/HYBRID,Haryana(104),2026,JAN,79
4,ELECTRIC(BOV),Haryana(104),2026,JAN,911
5,ETHANOL,Haryana(104),2026,JAN,1
6,LNG,Haryana(104),2026,JAN,1
7,NOT APPLICABLE,Haryana(104),2026,JAN,22
8,PETROL,Haryana(104),2026,JAN,"26,562"
9,PETROL/CNG,Haryana(104),2026,JAN,"3,100"
10,PETROL(E20)/CNG,Haryana(104),2026,JAN,"7,798"
11,PETROL(E20)/HYBRID,Haryana(104),2026,JAN,"1,285"
12,PETROL/ETHANOL,Haryana(104),2026,JAN,"39,337"
13,PETROL/HYBRID,Haryana(104),2026,JAN,712
14,PLUG-IN HYBRID EV,Haryana(104),2026,JAN,1
15,PURE EV,Haryana(104),2026,JAN,"1,798"
16,STRONG HYBRID EV,Haryana(104),2026,JAN,969
1,CNG ONLY,Haryana(104),2026,FEB,"2,017"
2,DIESEL,Haryana(104),2026,FEB,"12,893"
3,DIESEL/HYBRID,Haryana(104),2026,FEB,84
4,ELECTRIC(BOV),Haryana(104),2026,FEB,566
5,ETHANOL,Haryana(104),2026,FEB,0
6,LNG,Haryana(104),2026,FEB,1
7,NOT APPLICABLE,Haryana(104),2026,FEB,17
