S No,Fuel,State,Year,Vehicle Class,Value
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,3
2,DIESEL,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,"1,214"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
7,LNG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
10,PETROL,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,1
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Agricultural Tractor,"1,71,731"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Agricultural Tractor,4
5,ETHANOL,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
7,LNG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Agricultural Tractor,6
10,PETROL,All Vahan4 Running States (35/36),2026,Agricultural Tractor,7
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,2
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,4
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Power Tiller,0
2,DIESEL,All Vahan4 Running States (35/36),2026,Power Tiller,0
