S No,Vehicle Class,State,Year,Fuel,Value
13,CASH VAN,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
14,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
16,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
17,DUMPER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
18,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
19,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
20,E-RICKSHAW(P),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
21,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
22,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
23,EXCAVATOR (NT),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
24,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
25,FIRE TENDERS,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
26,FORK LIFT,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
27,GOODS CARRIER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
28,HARVESTER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
29,HEARSES,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
30,LIBRARY VAN,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
31,LUXURY CAB,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
32,MAXI CAB,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
33,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
34,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
35,MOBILE CANTEEN,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
36,MOBILE CLINIC,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
37,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
38,MOPED,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
39,MOTOR CAB,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
40,MOTOR CAR,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
41,MOTOR CARAVAN,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
42,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
43,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
