S No,Vehicle Category,State,Year,Fuel,Value
5,LIGHT GOODS VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,BIO-CNG/BIO-GAS,0
12,THREE WHEELER(T),Bihar(48),2026,BIO-CNG/BIO-GAS,0
13,TWO WHEELER(NT),Bihar(48),2026,BIO-CNG/BIO-GAS,0
14,TWO WHEELER(T),Bihar(48),2026,BIO-CNG/BIO-GAS,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,BIO-DIESEL(B100),0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
5,LIGHT GOODS VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,BIO-DIESEL(B100),0
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,BIO-DIESEL(B100),0
12,THREE WHEELER(T),Bihar(48),2026,BIO-DIESEL(B100),0
13,TWO WHEELER(NT),Bihar(48),2026,BIO-DIESEL(B100),0
14,TWO WHEELER(T),Bihar(48),2026,BIO-DIESEL(B100),0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,BIO-METHANE,0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,BIO-METHANE,0
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,BIO-METHANE,0
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,BIO-METHANE,0
5,LIGHT GOODS VEHICLE,Bihar(48),2026,BIO-METHANE,0
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,BIO-METHANE,0
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,BIO-METHANE,0
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,BIO-METHANE,0
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,BIO-METHANE,0
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,BIO-METHANE,0
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,BIO-METHANE,0
12,THREE WHEELER(T),Bihar(48),2026,BIO-METHANE,0
13,TWO WHEELER(NT),Bihar(48),2026,BIO-METHANE,0
14,TWO WHEELER(T),Bihar(48),2026,BIO-METHANE,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,CNG ONLY,0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,CNG ONLY,18
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,CNG ONLY,0
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,CNG ONLY,3
5,LIGHT GOODS VEHICLE,Bihar(48),2026,CNG ONLY,258
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,CNG ONLY,0
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,CNG ONLY,145
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,CNG ONLY,4
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,CNG ONLY,0
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,CNG ONLY,27
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,CNG ONLY,0
12,THREE WHEELER(T),Bihar(48),2026,CNG ONLY,"3,138"
13,TWO WHEELER(NT),Bihar(48),2026,CNG ONLY,91
14,TWO WHEELER(T),Bihar(48),2026,CNG ONLY,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,DIESEL,1
2,HEAVY GOODS VEHICLE,Bihar(48),2026,DIESEL,"2,292"
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,DIESEL,21
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,DIESEL,163
5,LIGHT GOODS VEHICLE,Bihar(48),2026,DIESEL,"4,544"
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,DIESEL,"7,242"
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,DIESEL,573
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,DIESEL,228
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,DIESEL,97
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,DIESEL,182
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,DIESEL,234
12,THREE WHEELER(T),Bihar(48),2026,DIESEL,415
13,TWO WHEELER(NT),Bihar(48),2026,DIESEL,0
14,TWO WHEELER(T),Bihar(48),2026,DIESEL,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,DIESEL/HYBRID,0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
5,LIGHT GOODS VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,DIESEL/HYBRID,19
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,DIESEL/HYBRID,0
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,DIESEL/HYBRID,0
12,THREE WHEELER(T),Bihar(48),2026,DIESEL/HYBRID,0
13,TWO WHEELER(NT),Bihar(48),2026,DIESEL/HYBRID,0
14,TWO WHEELER(T),Bihar(48),2026,DIESEL/HYBRID,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,DI-METHYL ETHER,0
2,HEAVY GOODS VEHICLE,Bihar(48),2026,DI-METHYL ETHER,0
