state_code,state_name,vehicle_group,maker,year,month,count
-1,All India,TWO WHEELER,DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,DYS IMPEX PRIVATE LIMITED,2025,Vehicle Category Group,720
-1,All India,TWO WHEELER,EAGLE AGRO INSUTRIES,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,E-ASHWA AUTOMOTIVE PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,EBUZZ MOBILITY LLP,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ECO DYNAAMIC EQUIPMENTS,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,2025,Vehicle Category Group,37
-1,All India,TWO WHEELER,ECOPLANET MOTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,ECO SMART VEHICLES PVT LTD,2025,Vehicle Category Group,95
-1,All India,TWO WHEELER,EEVEE ENGINEERING PVT LTD,2025,Vehicle Category Group,37
-1,All India,TWO WHEELER,EFEV CHARGING SOLUTION PVT LTD,2025,Vehicle Category Group,177
-1,All India,TWO WHEELER,E-GURU AUTO ENERGY,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,EICHER MOTORS LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,EICHER TRACTORS,2025,Vehicle Category Group,7817
-1,All India,TWO WHEELER,ELECTRA INTERNATIONAL,2025,Vehicle Category Group,15
-1,All India,TWO WHEELER,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,ELECTRIC FUTURE INDIA,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,ELECTRO ARO AUTOMOTIVE PVT LTD,2025,Vehicle Category Group,33
-1,All India,TWO WHEELER,ELECTRODRIVE VEHICLES PVT LTD,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,ELEGO MOTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,ELEPHANTA INDUSTRIES PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ELITE AUTO ENGINEERS PVT LTD,2025,Vehicle Category Group,23
-1,All India,TWO WHEELER,ELTHOR ENERGY PRIVATE LIMITED,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,EMOBILITI SYSTEMS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,EMOBI MANUFACTURY PRIVATE LIMITED,2025,Vehicle Category Group,33
