S No,Fuel,State,Year,Norms,Value
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III A,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III A,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III A,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,B(T)S III A,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III A,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III A,0
25,PURE EV,All Vahan4 Running States (35/36),2025,B(T)S III A,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III A,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III B,0
2,DIESEL,All Vahan4 Running States (35/36),2025,B(T)S III B,132
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III B,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,B(T)S III B,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III B,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,B(T)S III B,0
9,LNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III B,0
11,METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III B,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
13,PETROL,All Vahan4 Running States (35/36),2025,B(T)S III B,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III B,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,B(T)S III B,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III B,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,B(T)S III B,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,B(T)S III B,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III B,0
25,PURE EV,All Vahan4 Running States (35/36),2025,B(T)S III B,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,B(T)S III B,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
2,DIESEL,All Vahan4 Running States (35/36),2025,CEV STAGE IV,"15,831"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
